epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5128,0.9998,1.15235,0.98685,0.78861,0.59422,0.75672,0.47537,1.29044,1.69866,1.12717,0.000462724,0.000462724,0.000462724
2,53.3967,0.75733,0.53861,0.89413,0.93894,0.95606,0.96837,0.78886,0.72337,0.47088,0.8793,0.00084609,0.00084609,0.00084609
3,64.1071,0.72361,0.52685,0.87186,0.9142,0.96015,0.96897,0.79526,0.69104,0.48179,0.86596,0.00113514,0.00113514,0.00113514
4,74.2836,0.7028,0.49818,0.87346,0.92582,0.96469,0.97497,0.80763,0.63742,0.4663,0.85583,0.00100459,0.00100459,0.00100459
5,84.65,0.67307,0.46818,0.8593,0.92014,0.97792,0.97462,0.80292,0.64561,0.46516,0.85971,0.000863116,0.000863116,0.000863116
6,95.0101,0.63415,0.45182,0.84976,0.93443,0.94877,0.96017,0.81161,0.60949,0.44269,0.85221,0.000721645,0.000721645,0.000721645
7,105.398,0.59893,0.42104,0.84089,0.94662,0.96686,0.96818,0.82477,0.60422,0.41258,0.85423,0.000580174,0.000580174,0.000580174
8,115.944,0.58249,0.40116,0.83337,0.94827,0.96769,0.97843,0.83979,0.56068,0.37646,0.84202,0.000438703,0.000438703,0.000438703
9,126.238,0.56738,0.37869,0.8403,0.94293,0.96973,0.97734,0.8484,0.55403,0.37058,0.83895,0.000297232,0.000297232,0.000297232
10,136.759,0.53892,0.34669,0.8274,0.93723,0.97125,0.97594,0.84966,0.54349,0.35149,0.83555,0.000155761,0.000155761,0.000155761
