epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0586,0.62516,0.3939,0.88115,0.95146,0.9485,0.9755,0.8423,0.61585,0.35179,0.85242,0.000462724,0.000462724,0.000462724
2,21.4986,0.52587,0.32733,0.84699,0.94186,0.97748,0.96775,0.84567,0.57372,0.33528,0.8451,0.000920464,0.000920464,0.000920464
3,31.819,0.52412,0.32945,0.85457,0.94204,0.96937,0.97442,0.83624,0.58428,0.35995,0.84697,0.00135934,0.00135934,0.00135934
4,41.8303,0.52865,0.33368,0.84545,0.94283,0.96067,0.97363,0.83678,0.56911,0.36015,0.84374,0.00134412,0.00134412,0.00134412
5,51.9136,0.51872,0.34068,0.84707,0.93085,0.97906,0.97189,0.84205,0.5702,0.36675,0.84832,0.00131582,0.00131582,0.00131582
6,61.8656,0.51238,0.32249,0.84553,0.94411,0.96904,0.96419,0.83365,0.56101,0.35516,0.84099,0.00128753,0.00128753,0.00128753
7,71.8867,0.49652,0.3191,0.84701,0.94679,0.96533,0.96283,0.83505,0.54284,0.3572,0.83712,0.00125923,0.00125923,0.00125923
8,81.9882,0.4903,0.31054,0.836,0.94311,0.97786,0.97579,0.84711,0.55319,0.3438,0.84084,0.00123094,0.00123094,0.00123094
9,92.2277,0.49997,0.31614,0.85317,0.94897,0.96044,0.96961,0.84094,0.56173,0.36609,0.83987,0.00120265,0.00120265,0.00120265
10,102.312,0.47825,0.31308,0.82997,0.94033,0.96774,0.96654,0.85087,0.53887,0.35745,0.83824,0.00117435,0.00117435,0.00117435
11,112.65,0.48569,0.31173,0.83757,0.95088,0.96222,0.9771,0.84905,0.55234,0.36331,0.84614,0.00114606,0.00114606,0.00114606
12,122.662,0.49247,0.30939,0.83989,0.93951,0.95688,0.9699,0.8401,0.55621,0.37589,0.84487,0.00111776,0.00111776,0.00111776
13,132.648,0.48558,0.31214,0.84317,0.94564,0.96017,0.96552,0.84364,0.55707,0.34541,0.8423,0.00108947,0.00108947,0.00108947
14,142.691,0.48906,0.31338,0.84439,0.94785,0.96551,0.97257,0.85514,0.52553,0.33492,0.83239,0.00106118,0.00106118,0.00106118
15,152.898,0.49766,0.31702,0.85017,0.93324,0.97719,0.97317,0.85956,0.52861,0.33687,0.83587,0.00103288,0.00103288,0.00103288
16,163.159,0.50129,0.31236,0.84382,0.9466,0.97526,0.97739,0.86078,0.5489,0.34993,0.83675,0.00100459,0.00100459,0.00100459
17,173.377,0.48754,0.30521,0.84289,0.94556,0.95669,0.97645,0.85364,0.54694,0.33116,0.83668,0.000976293,0.000976293,0.000976293
18,183.347,0.48659,0.30337,0.84163,0.94567,0.97244,0.96765,0.85117,0.54183,0.33067,0.83859,0.000947999,0.000947999,0.000947999
19,193.571,0.48558,0.30209,0.84175,0.95661,0.96571,0.97224,0.86134,0.51936,0.32204,0.83222,0.000919704,0.000919704,0.000919704
20,203.636,0.47789,0.29798,0.8399,0.9498,0.96699,0.96855,0.85591,0.52663,0.32148,0.83422,0.00089141,0.00089141,0.00089141
21,213.648,0.47753,0.29692,0.83646,0.95017,0.9699,0.97048,0.85677,0.54352,0.31963,0.8378,0.000863116,0.000863116,0.000863116
22,223.803,0.46681,0.29127,0.8429,0.94788,0.97406,0.97136,0.8523,0.54086,0.32484,0.84149,0.000834822,0.000834822,0.000834822
23,233.93,0.47585,0.2937,0.84076,0.9475,0.98236,0.97319,0.85815,0.52624,0.32009,0.83876,0.000806528,0.000806528,0.000806528
24,243.911,0.46948,0.29482,0.84193,0.94366,0.98229,0.976,0.86883,0.51357,0.30097,0.8321,0.000778233,0.000778233,0.000778233
25,253.977,0.46205,0.28364,0.83631,0.96058,0.95347,0.96995,0.85945,0.50662,0.32018,0.83048,0.000749939,0.000749939,0.000749939
26,264.017,0.46783,0.28559,0.83778,0.94007,0.98485,0.9678,0.85417,0.51537,0.31226,0.83136,0.000721645,0.000721645,0.000721645
27,274.157,0.4646,0.28601,0.84668,0.94463,0.98386,0.97159,0.86808,0.51942,0.30764,0.83159,0.000693351,0.000693351,0.000693351
28,284.155,0.45423,0.27844,0.83403,0.95109,0.96793,0.96729,0.86569,0.5229,0.31749,0.83041,0.000665057,0.000665057,0.000665057
29,294.273,0.44716,0.2736,0.83423,0.95342,0.96363,0.96942,0.85642,0.52986,0.32051,0.8298,0.000636762,0.000636762,0.000636762
30,304.274,0.45809,0.28232,0.8285,0.9367,0.97924,0.96553,0.85948,0.5278,0.32343,0.83257,0.000608468,0.000608468,0.000608468
31,314.346,0.45433,0.27879,0.83558,0.93375,0.98549,0.97267,0.86719,0.50791,0.31928,0.82908,0.000580174,0.000580174,0.000580174
32,324.47,0.43878,0.26858,0.83503,0.94205,0.97935,0.97444,0.86699,0.5099,0.32408,0.83131,0.00055188,0.00055188,0.00055188
33,334.428,0.44549,0.27868,0.83762,0.93714,0.98299,0.97252,0.86753,0.51386,0.31129,0.83197,0.000523586,0.000523586,0.000523586
34,344.527,0.43601,0.27218,0.83281,0.93342,0.97102,0.96863,0.87091,0.51029,0.32428,0.83045,0.000495291,0.000495291,0.000495291
35,354.723,0.44229,0.26871,0.83386,0.94484,0.97259,0.97026,0.86795,0.51857,0.31168,0.83332,0.000466997,0.000466997,0.000466997
36,364.724,0.43019,0.26725,0.83865,0.94295,0.97587,0.96962,0.86822,0.5106,0.31247,0.83087,0.000438703,0.000438703,0.000438703
37,374.574,0.44625,0.26771,0.83045,0.95566,0.9609,0.96942,0.86907,0.50082,0.31698,0.83063,0.000410409,0.000410409,0.000410409
38,384.676,0.44624,0.26523,0.8401,0.95749,0.96363,0.97115,0.87149,0.50921,0.31609,0.83182,0.000382115,0.000382115,0.000382115
39,394.968,0.43624,0.26707,0.83314,0.95026,0.96597,0.96938,0.87158,0.50573,0.32007,0.83257,0.00035382,0.00035382,0.00035382
40,404.995,0.4359,0.25998,0.82957,0.95699,0.95756,0.97305,0.87004,0.49626,0.31138,0.82865,0.000325526,0.000325526,0.000325526
41,428.18,0.43955,0.26301,0.80415,0.93327,0.97895,0.97194,0.86005,0.50492,0.31672,0.82866,0.000297232,0.000297232,0.000297232
42,438.086,0.42224,0.24235,0.7988,0.93526,0.97392,0.9727,0.86282,0.5091,0.32181,0.83201,0.000268938,0.000268938,0.000268938
43,448.087,0.41186,0.2394,0.79587,0.94193,0.96318,0.97014,0.86463,0.49574,0.32027,0.83013,0.000240644,0.000240644,0.000240644
