epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3849,0.86239,2.3355,0.98453,0.97468,0.34061,0.58488,0.50184,0.76631,2.5527,0.90176,0.000462724,0.000462724,0.000462724
2,18.4811,0.80989,1.2713,0.91938,0.93473,0.61739,0.88144,0.71216,0.74344,1.66178,0.8762,0.000920464,0.000920464,0.000920464
3,26.114,0.76677,1.06176,0.91255,0.769,0.75968,0.81158,0.64465,0.72308,1.60787,0.88713,0.00135934,0.00135934,0.00135934
4,33.5883,0.72831,0.91392,0.90959,0.8866,0.85267,0.95621,0.77193,0.70264,0.86381,0.8766,0.00134412,0.00134412,0.00134412
5,40.9898,0.7191,0.84147,0.89193,0.91955,0.95432,0.95968,0.77575,0.71172,0.64569,0.889,0.00131582,0.00131582,0.00131582
6,48.3808,0.70565,0.81441,0.8872,0.94109,0.92835,0.9632,0.7827,0.65802,0.70639,0.86803,0.00128753,0.00128753,0.00128753
7,55.708,0.69246,0.74141,0.89663,0.93451,0.97051,0.97029,0.8048,0.62615,0.53105,0.85371,0.00125923,0.00125923,0.00125923
8,63.2811,0.64715,0.65479,0.88034,0.95128,0.94912,0.97145,0.83088,0.58584,0.48622,0.84212,0.00123094,0.00123094,0.00123094
9,70.7065,0.65223,0.64783,0.87866,0.95016,0.9476,0.97482,0.81805,0.60965,0.5154,0.85547,0.00120265,0.00120265,0.00120265
10,78.1026,0.6552,0.62206,0.89109,0.9433,0.96851,0.96712,0.81661,0.58314,0.45229,0.8463,0.00117435,0.00117435,0.00117435
11,85.5148,0.64438,0.59209,0.87925,0.90716,0.96184,0.96889,0.82053,0.60677,0.49591,0.85022,0.00114606,0.00114606,0.00114606
12,93.2593,0.62281,0.55062,0.86644,0.92909,0.97518,0.97143,0.82151,0.57754,0.44668,0.84081,0.00111776,0.00111776,0.00111776
13,100.642,0.63066,0.54227,0.87772,0.95272,0.96462,0.96168,0.81478,0.57519,0.46614,0.84207,0.00108947,0.00108947,0.00108947
14,107.98,0.61092,0.51953,0.86911,0.92691,0.98626,0.96704,0.82485,0.55105,0.41815,0.83567,0.00106118,0.00106118,0.00106118
15,115.394,0.60172,0.51008,0.86606,0.95656,0.97404,0.97154,0.82713,0.57675,0.42243,0.84668,0.00103288,0.00103288,0.00103288
16,122.849,0.61123,0.51029,0.87758,0.95606,0.9588,0.98248,0.84271,0.55399,0.40838,0.83935,0.00100459,0.00100459,0.00100459
17,130.252,0.61274,0.50668,0.87521,0.93775,0.98907,0.97966,0.85004,0.54454,0.3922,0.8377,0.000976293,0.000976293,0.000976293
18,137.62,0.58398,0.46623,0.86787,0.94887,0.972,0.97449,0.83799,0.54801,0.38334,0.83187,0.000947999,0.000947999,0.000947999
19,145.265,0.56974,0.45218,0.86096,0.94543,0.97393,0.97558,0.8425,0.53974,0.38016,0.82974,0.000919704,0.000919704,0.000919704
20,152.784,0.57705,0.44404,0.86955,0.94795,0.97159,0.97503,0.84845,0.53172,0.39484,0.83646,0.00089141,0.00089141,0.00089141
21,160.279,0.56638,0.44079,0.86577,0.94953,0.98557,0.97875,0.83799,0.58146,0.39626,0.84284,0.000863116,0.000863116,0.000863116
22,167.67,0.57241,0.44767,0.86499,0.94247,0.97821,0.97675,0.85054,0.53624,0.38421,0.83855,0.000834822,0.000834822,0.000834822
23,175.002,0.55628,0.41688,0.86371,0.93377,0.98275,0.9725,0.84611,0.5384,0.37452,0.838,0.000806528,0.000806528,0.000806528
24,182.506,0.57423,0.42112,0.86546,0.93467,0.98738,0.97717,0.85893,0.5226,0.36777,0.83016,0.000778233,0.000778233,0.000778233
25,189.784,0.548,0.41381,0.85989,0.94921,0.97849,0.9752,0.86558,0.52992,0.37492,0.83636,0.000749939,0.000749939,0.000749939
26,197.338,0.52993,0.40891,0.85705,0.94923,0.97906,0.97628,0.86207,0.52272,0.3669,0.83061,0.000721645,0.000721645,0.000721645
27,204.704,0.5355,0.38921,0.85795,0.93554,0.98802,0.97115,0.84711,0.54114,0.36522,0.83858,0.000693351,0.000693351,0.000693351
28,212.018,0.53975,0.39132,0.85683,0.9418,0.98548,0.97449,0.86533,0.50137,0.35505,0.82672,0.000665057,0.000665057,0.000665057
29,219.577,0.52876,0.3876,0.85007,0.94207,0.9869,0.97672,0.86657,0.50962,0.34435,0.82749,0.000636762,0.000636762,0.000636762
30,227.178,0.52142,0.38723,0.85413,0.95311,0.98078,0.98007,0.86867,0.49659,0.3527,0.82683,0.000608468,0.000608468,0.000608468
31,234.642,0.51846,0.37755,0.85062,0.94122,0.98601,0.97499,0.86564,0.50205,0.36234,0.82854,0.000580174,0.000580174,0.000580174
32,242.046,0.50897,0.38092,0.85064,0.93824,0.98523,0.97844,0.87478,0.49648,0.35092,0.82813,0.00055188,0.00055188,0.00055188
33,249.56,0.52994,0.36639,0.85501,0.9405,0.98576,0.97478,0.86813,0.50346,0.34411,0.8293,0.000523586,0.000523586,0.000523586
34,257.076,0.49822,0.35871,0.84764,0.95616,0.98108,0.97456,0.87389,0.48498,0.33241,0.82594,0.000495291,0.000495291,0.000495291
35,264.564,0.49318,0.35245,0.84852,0.95359,0.98207,0.97383,0.87143,0.48596,0.32404,0.82647,0.000466997,0.000466997,0.000466997
36,272.119,0.48407,0.3487,0.84212,0.95139,0.97727,0.97334,0.87143,0.48437,0.33169,0.82402,0.000438703,0.000438703,0.000438703
37,279.823,0.48997,0.3407,0.84781,0.95323,0.9741,0.9765,0.86825,0.49984,0.33428,0.82584,0.000410409,0.000410409,0.000410409
38,288.17,0.4856,0.34199,0.84686,0.94448,0.98954,0.97892,0.87044,0.50251,0.33234,0.82981,0.000382115,0.000382115,0.000382115
39,295.639,0.48236,0.34118,0.85007,0.94922,0.98212,0.98155,0.87198,0.49032,0.3173,0.82369,0.00035382,0.00035382,0.00035382
40,303.906,0.47037,0.32415,0.84335,0.93751,0.9903,0.98018,0.87996,0.46944,0.31051,0.82221,0.000325526,0.000325526,0.000325526
41,339.501,0.45637,0.32388,0.80923,0.94297,0.97392,0.97908,0.86522,0.47884,0.31718,0.8231,0.000297232,0.000297232,0.000297232
42,346.85,0.44125,0.31258,0.80669,0.94828,0.98002,0.9795,0.86911,0.48754,0.3238,0.82723,0.000268938,0.000268938,0.000268938
43,353.987,0.43967,0.29971,0.79787,0.9464,0.9807,0.97351,0.87441,0.48722,0.31793,0.82899,0.000240644,0.000240644,0.000240644
44,361.053,0.43045,0.29944,0.80511,0.9476,0.97784,0.97532,0.87087,0.47111,0.31226,0.82672,0.000212349,0.000212349,0.000212349
45,367.976,0.42688,0.29644,0.79385,0.94245,0.98393,0.97532,0.86958,0.47521,0.31267,0.82272,0.000184055,0.000184055,0.000184055
46,375.16,0.43079,0.28975,0.7963,0.93997,0.98212,0.97266,0.86821,0.48856,0.31507,0.82424,0.000155761,0.000155761,0.000155761
47,382.174,0.41509,0.28374,0.8021,0.94729,0.97939,0.97654,0.87837,0.4615,0.30199,0.82099,0.000127467,0.000127467,0.000127467
48,389.386,0.40692,0.27309,0.79769,0.94378,0.9845,0.97483,0.87734,0.46453,0.30746,0.82232,9.91726e-05,9.91726e-05,9.91726e-05
49,396.562,0.39816,0.27448,0.79377,0.94627,0.98682,0.97728,0.87843,0.46569,0.30044,0.82252,7.08784e-05,7.08784e-05,7.08784e-05
50,403.789,0.40339,0.27087,0.79728,0.94549,0.98616,0.978,0.8813,0.46109,0.29927,0.82192,4.25842e-05,4.25842e-05,4.25842e-05
