epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8175,0.8967,2.10622,1.0517,0.90774,0.9361,0.95442,0.76253,0.7318,1.0202,0.89278,0.000462724,0.000462724,0.000462724
2,23.0572,0.79994,0.83884,0.92583,0.80121,0.91385,0.89717,0.61827,1.0175,1.2181,1.0206,0.000920464,0.000920464,0.000920464
3,32.6993,0.77831,0.73314,0.93993,0.71315,0.81333,0.88743,0.6295,0.99103,1.22694,0.96841,0.00135934,0.00135934,0.00135934
4,42.3574,0.76203,0.64201,0.93112,0.91983,0.93839,0.96728,0.78913,0.74427,0.62685,0.89237,0.00134412,0.00134412,0.00134412
5,51.9374,0.72676,0.58986,0.91018,0.94795,0.94237,0.96906,0.78452,0.71764,0.58444,0.87622,0.00131582,0.00131582,0.00131582
6,61.3576,0.73748,0.58339,0.91177,0.8887,0.93288,0.95176,0.7486,0.73105,0.66857,0.88466,0.00128753,0.00128753,0.00128753
7,70.8203,0.6918,0.54053,0.91279,0.89422,0.94639,0.96503,0.81217,0.63314,0.51321,0.85474,0.00125923,0.00125923,0.00125923
8,80.3365,0.64794,0.50441,0.8903,0.94313,0.97221,0.97763,0.80471,0.63521,0.48892,0.84915,0.00123094,0.00123094,0.00123094
9,89.7883,0.67243,0.51175,0.89634,0.93455,0.96868,0.96825,0.83071,0.60465,0.43516,0.8567,0.00120265,0.00120265,0.00120265
10,99.5453,0.64324,0.49333,0.90216,0.9403,0.97676,0.96886,0.81742,0.59569,0.40913,0.84739,0.00117435,0.00117435,0.00117435
11,109.139,0.61985,0.4767,0.89056,0.9194,0.97994,0.96514,0.82272,0.57793,0.397,0.84264,0.00114606,0.00114606,0.00114606
12,118.601,0.60539,0.45448,0.87546,0.93697,0.98275,0.97298,0.82718,0.61682,0.40928,0.84652,0.00111776,0.00111776,0.00111776
13,127.966,0.62123,0.44667,0.88524,0.93443,0.97934,0.98077,0.84538,0.5676,0.38938,0.84089,0.00108947,0.00108947,0.00108947
14,137.374,0.60533,0.44858,0.8819,0.93277,0.97557,0.97677,0.83944,0.57122,0.38257,0.84591,0.00106118,0.00106118,0.00106118
15,146.817,0.59808,0.44522,0.88042,0.93906,0.96909,0.97644,0.83571,0.56997,0.40687,0.84179,0.00103288,0.00103288,0.00103288
16,156.16,0.60433,0.43448,0.88715,0.91996,0.94881,0.97143,0.82149,0.59227,0.42827,0.85196,0.00100459,0.00100459,0.00100459
17,165.671,0.59695,0.42303,0.87915,0.93617,0.98134,0.9732,0.8416,0.56391,0.38645,0.83895,0.000976293,0.000976293,0.000976293
18,175.133,0.58071,0.40482,0.8697,0.93797,0.96489,0.97351,0.83926,0.55592,0.37754,0.84319,0.000947999,0.000947999,0.000947999
19,184.508,0.57036,0.3942,0.87056,0.93148,0.97543,0.9802,0.84343,0.57696,0.37381,0.84528,0.000919704,0.000919704,0.000919704
20,194.129,0.56884,0.3927,0.8782,0.9405,0.99385,0.97357,0.84162,0.5671,0.3696,0.8467,0.00089141,0.00089141,0.00089141
21,203.53,0.55403,0.38718,0.86998,0.94469,0.96952,0.97319,0.85425,0.55423,0.36626,0.84175,0.000863116,0.000863116,0.000863116
22,213.021,0.56494,0.40184,0.87764,0.92785,0.97338,0.97886,0.8649,0.53449,0.37768,0.83381,0.000834822,0.000834822,0.000834822
23,222.604,0.55119,0.37033,0.87005,0.95142,0.97401,0.98108,0.86676,0.53864,0.33769,0.83853,0.000806528,0.000806528,0.000806528
24,232.126,0.55376,0.38294,0.87049,0.938,0.97371,0.96844,0.84677,0.56562,0.35446,0.83561,0.000778233,0.000778233,0.000778233
25,241.584,0.533,0.35813,0.86368,0.93363,0.9798,0.9749,0.86829,0.51367,0.35809,0.83116,0.000749939,0.000749939,0.000749939
26,251.124,0.51772,0.36331,0.86437,0.9398,0.98421,0.96943,0.86553,0.50964,0.34841,0.82924,0.000721645,0.000721645,0.000721645
27,260.615,0.51727,0.34535,0.86772,0.94551,0.98002,0.96979,0.86004,0.52675,0.33585,0.84302,0.000693351,0.000693351,0.000693351
28,270.136,0.52869,0.35201,0.8678,0.93463,0.98927,0.97218,0.86528,0.51596,0.34518,0.83182,0.000665057,0.000665057,0.000665057
29,279.723,0.52187,0.34815,0.85765,0.93656,0.9833,0.97601,0.87229,0.49624,0.33211,0.82609,0.000636762,0.000636762,0.000636762
30,289.241,0.50043,0.34601,0.8607,0.93796,0.99454,0.97564,0.86719,0.50121,0.33926,0.82979,0.000608468,0.000608468,0.000608468
31,298.784,0.50782,0.34432,0.85769,0.94259,0.98018,0.97719,0.86481,0.51274,0.34364,0.83277,0.000580174,0.000580174,0.000580174
32,308.305,0.48181,0.34514,0.8529,0.93716,0.9969,0.97398,0.87664,0.47119,0.32341,0.82646,0.00055188,0.00055188,0.00055188
33,317.869,0.49289,0.33127,0.85642,0.95274,0.98143,0.97843,0.87804,0.48295,0.3167,0.82622,0.000523586,0.000523586,0.000523586
34,327.498,0.46073,0.32512,0.84677,0.93719,0.99032,0.97633,0.876,0.47218,0.31066,0.82616,0.000495291,0.000495291,0.000495291
35,337.121,0.46455,0.32173,0.85512,0.94668,0.98562,0.97028,0.87422,0.47468,0.30675,0.82721,0.000466997,0.000466997,0.000466997
36,346.672,0.45671,0.31007,0.84659,0.94216,0.989,0.97348,0.87997,0.47081,0.30976,0.82566,0.000438703,0.000438703,0.000438703
37,356.342,0.44608,0.30285,0.84205,0.94914,0.97691,0.97041,0.87255,0.48753,0.31488,0.82667,0.000410409,0.000410409,0.000410409
38,365.819,0.4482,0.30407,0.84785,0.94323,0.98482,0.97547,0.86753,0.49476,0.31017,0.8298,0.000382115,0.000382115,0.000382115
39,375.369,0.4439,0.30139,0.84986,0.9496,0.97456,0.97454,0.87619,0.46871,0.30467,0.8239,0.00035382,0.00035382,0.00035382
40,384.864,0.4374,0.29004,0.84678,0.94768,0.97697,0.97574,0.88476,0.46323,0.30007,0.82445,0.000325526,0.000325526,0.000325526
41,425.613,0.41596,0.26735,0.80133,0.94447,0.97163,0.97627,0.87526,0.46827,0.30836,0.82309,0.000297232,0.000297232,0.000297232
42,435.154,0.41659,0.27019,0.80414,0.94806,0.96363,0.97217,0.86779,0.48103,0.32431,0.82172,0.000268938,0.000268938,0.000268938
43,444.607,0.41238,0.26154,0.79453,0.94195,0.98002,0.97087,0.8765,0.47323,0.30922,0.82108,0.000240644,0.000240644,0.000240644
44,454.033,0.4041,0.25914,0.80427,0.94123,0.98283,0.96741,0.87793,0.46328,0.30567,0.82316,0.000212349,0.000212349,0.000212349
45,463.372,0.40036,0.25831,0.79156,0.94809,0.97131,0.96779,0.87163,0.47959,0.30871,0.82535,0.000184055,0.000184055,0.000184055
46,472.473,0.39118,0.25046,0.79218,0.94153,0.98206,0.96942,0.87738,0.46211,0.29629,0.82194,0.000155761,0.000155761,0.000155761
47,481.799,0.38203,0.24353,0.79584,0.94308,0.98303,0.97359,0.88232,0.45438,0.30136,0.81964,0.000127467,0.000127467,0.000127467
48,491.133,0.37237,0.23968,0.7937,0.93855,0.98952,0.97384,0.8838,0.45379,0.29938,0.82065,9.91726e-05,9.91726e-05,9.91726e-05
49,500.385,0.36393,0.23179,0.79498,0.94252,0.99242,0.97366,0.8835,0.45108,0.29027,0.82012,7.08784e-05,7.08784e-05,7.08784e-05
50,509.717,0.36619,0.22923,0.79206,0.93858,0.98434,0.97439,0.88547,0.45146,0.28572,0.81982,4.25842e-05,4.25842e-05,4.25842e-05
